self.step_no	last_rec.is_hi	last_rec.is_hi_is_random	last_rec.d_sum	last_rec.d_sqr_sum	last_rec.n	self.evaluation_start_index	n[0]	n[1]	s[0]	s[1]	s2[0]	s2[1]	decision	p_value	d0	d1	math.sqrt(s0)	math.sqrt(s1)
114	False	False	-1.5348140001296997	1.3303801378810505	10	100	7	7	1.199501395225525	-1.3554977178573608	7.600909730388011	3.9091774006881366	0	0.2464131492418825	0.17135734217507498	-0.19364253112248012	0.4196190551124876	0.2946626558525582
115	True	True	1.274267554283142	0.8396353082315642	10	100	7	8	1.199501395225525	-0.08123016357421875	7.600909730388011	5.532935200586877	None	None	None	None	None	None
116	False	False	-0.4856935739517212	0.5286067827104404	10	100	8	8	0.7138078212738037	-0.08123016357421875	7.836807978166007	5.532935200586877	0	0.42080100916898744	0.08922597765922546	-0.010153770446777344	0.3725663358347853	0.31430508405030244
117	False	True	-1.4613573551177979	1.6545243440153286	10	100	9	8	-0.7475495338439941	-0.08123016357421875	9.972373297522893	5.532935200586877	None	None	None	None	None	None
118	True	False	0.2641897201538086	2.889335582789954	10	100	9	9	-0.7475495338439941	0.18295955657958984	9.972373297522893	5.602731408821825	0	0.4134675761617205	-0.08306105931599934	0.020328839619954426	0.371002415411249	0.2788620739655673
119	False	True	0.896102786064148	2.039270558162869	10	100	10	9	0.1485532522201538	0.18295955657958984	10.77537350071482	5.602731408821825	None	None	None	None	None	None
120	True	False	0.2909078598022461	2.2427709726777323	10	100	10	10	0.1485532522201538	0.47386741638183594	10.77537350071482	5.687358791716548	0	0.4701336577753434	0.01485532522201538	0.04738674163818359	0.3459795545314508	0.25088518309922186
121	False	True	-0.2507120370864868	3.1799344004366645	10	100	11	10	-0.10215878486633301	0.47386741638183594	10.838230026254877	5.687358791716548	None	None	None	None	None	None
122	True	False	-0.04671883583068848	2.4559445468017316	10	100	11	11	-0.10215878486633301	0.42714858055114746	10.838230026254877	5.689541441337923	0	0.4512652010035904	-0.009287162260575728	0.038831689141013405	0.3138801343455156	0.2270953852547614
123	True	True	1.2028907537460327	1.1362820831091796	10	100	11	12	-0.10215878486633301	1.6300393342971802	10.838230026254877	7.1364876067856216	None	None	None	None	None	None
124	False	False	-0.7791211605072021	0.7115855824547168	10	100	12	12	-0.8812799453735352	1.6300393342971802	11.445259809004966	7.1364876067856216	0	0.29013792239530134	-0.0734399954477946	0.13583661119143167	0.29362595528991114	0.2288818106330896
125	True	True	0.23768579959869385	2.139199378133199	10	100	12	13	-0.8812799453735352	1.867725133895874	11.445259809004966	7.192982146116492	None	None	None	None	None	None
126	False	False	-1.0043363571166992	1.3016749315481775	10	100	13	13	-1.8856163024902344	1.867725133895874	12.453951327231408	7.192982146116492	0	0.2091093373671129	-0.1450474078838642	0.14367116414583647	0.27942761516581377	0.21068636159091592
127	True	True	1.461366891860962	1.9004107321235892	10	100	13	14	-1.8856163024902344	3.329092025756836	12.453951327231408	9.32857533874386	None	None	None	None	None	None
128	False	False	-1.7505072355270386	1.7730469301411773	10	100	14	14	-3.636123538017273	3.329092025756836	15.518226908863923	9.32857533874386	0	0.08772398396619689	-0.25972310985837666	0.2377922875540597	0.28297712402922387	0.21657857658988042
129	False	True	0.3408106565475464	1.2729705950190606	10	100	15	14	-3.2953128814697266	3.329092025756836	15.634378812480293	9.32857533874386	None	None	None	None	None	None
130	True	False	1.5087594985961914	1.4913912376713085	10	100	15	15	-3.2953128814697266	4.837851524353027	15.634378812480293	11.604930563348091	0	0.0639176688421687	-0.21968752543131512	0.32252343495686847	0.26646218064562244	0.21870408439914588
131	False	True	-2.1131250858306885	1.9217201456681607	10	100	16	15	-5.408437967300415	4.837851524353027	20.099676440847247	11.604930563348091	None	None	None	None	None	None
132	True	False	0.3552546501159668	0.7690595239237155	10	100	16	16	-5.408437967300415	5.193106174468994	20.099676440847247	11.73113642977711	1	0.03215257497985705	-0.33802737295627594	0.32456913590431213	0.2759187407776949	0.2045891660343394
133	True	True	0.6894135475158691	0.8394773483017843	10	134	0	1	0	0.6894135475158691	0	0.47529103949841556	None	None	None	None	None	None
134	False	False	1.1075390577316284	0.82002561852876	10	134	1	0	1.1075390577316284	0	1.2266427644010633	0	None	None	None	None	None	None
135	False	True	-1.7646585702896118	1.693563540697383	10	134	1	0	-1.7646585702896118	0	3.114019869696577	0	None	None	None	None	None	None
136	True	False	-0.3785743713378906	2.8505004721357636	10	134	1	1	-1.7646585702896118	-0.3785743713378906	3.114019869696577	0.1433185546338791	None	None	None	None	None	None
137	False	True	1.6442869901657104	4.033553046041348	10	134	2	1	-0.12037158012390137	-0.3785743713378906	5.817699575724788	0.1433185546338791	None	None	None	None	None	None
138	True	False	-1.4390226602554321	1.7435667069038487	10	134	2	2	-0.12037158012390137	-1.8175970315933228	5.817699575724788	2.2141047713625	0	0.35874140437924185	-0.060185790061950684	-0.9087985157966614	1.7044727802276611	0.5302241444587708
139	False	True	0.21936583518981934	0.8816417407577433	10	134	3	2	0.09899425506591797	-1.8175970315933228	5.865820945373315	2.2141047713625	None	None	None	None	None	None
140	True	False	-0.3034672737121582	1.353084419339666	10	134	3	3	0.09899425506591797	-2.121064305305481	5.865820945373315	2.30619715757679	0	0.2777094326877745	0.032998085021972656	-0.707021435101827	0.9884798366286118	0.36664224808761675
141	False	True	1.7845113277435303	1.0915446390218335	10	134	4	3	1.8835055828094482	-2.121064305305481	9.050301624218292	2.30619715757679	None	None	None	None	None	None
